ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part
"1"	"HLK-PM01"	"U10"	"PWRM-TH_HLK-PM01"	"1"	"HLK-PM01"	"HI-LINK"	"LCSC"	"C209903"
"2"	"100u"	"C1,C6"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"2"	""	""	"LCSC"	"C122609"
"3"	"Out contact max 8A"	"U17"	"CONN-TH_2P-P10.00_L10.0-W15.0"	"1"	"282858-2"	"TE Connectivity"	"LCSC"	"C306150"
"4"	"180nF"	"C5,C8"	"CAP-TH_L18.0-W6.0-P15.00-D1.2"	"2"	"SMXDX184KD2XXAB1515"	"DAIN Elec"	"LCSC"	"C155792"
"5"	"PinceDC"	"P12"	"WJ2EDGVC-5.08-4P"	"1"	"EK508V-04P"	"Dinkle"	"LCSC"	"C182807"
"6"	"7691"	"U2,U6,U8,U12"	"CONN-TH_4P-P5.00-S7.00_L8.0-W8.0"	"4"	"7691"	"Keystone"	"LCSC"	"C238163"
"7"	"1N5226B"	"D4"	"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	"1"	"1N5226B"	""	"LCSC"	"C51291"
"8"	"4N25"	"U16"	"DIP-6(7.12X6.4)"	"1"	"4N25"	"EVERLIGHT"	"LCSC"	"C115480"
"9"	"HOLE-M2-PLATED"	"X2,X1,X3,X4"	"HOLE_M2"	"4"	"New SchematicLib"	""	""	""
"10"	"BTA41-600BRG"	"Q2,Q5_2"	"TOP3-1"	"2"	"BTA41-600BRG"	"STMicroelectronics"	"LCSC"	"C9103"
"11"	"HX7333_C296167"	"U11"	"TO-92-3_L4.9-W3.7-P1.27-L"	"1"	"HX7333"	"hengjiaxing"	"LCSC"	"C296167"
"12"	"BAT85,133"	"D3,D7"	"DO-34_BD1.6-L3.0-P7.00-D0.6-RD"	"2"	"BAT85,133"	"Nexperia"	"LCSC"	"C134301"
"13"	"SSR-D3808HK"	"KA1"	"SSR-D3808HK 8A"	"1"	"SSR-D3808HK"	""	"HOYMK"	"SSR-D3808HK"
"14"	"2N2222A"	"Q1,Q3,Q4"	"TO-92-3_L4.8-W3.7-P2.54-R"	"3"	"2N2222A"	"Foshan Blue Rocket Elec"	"LCSC"	"C358533"
"15"	"HILINK 5V 1A"	"U7"	"FP_HILINK_5V_1A"	"1"	"HLK-5M05"	"HI-LINK"	"LCSC"	"C209907"
"16"	"5x20 BLX-Atype Fuse holder XC-7"	"F3"	"FUSE-TH_L22.6-W9.0"	"1"	"5x20 BLX-Atype Fuse holder XC-7"	"XCFuse"	"LCSC"	"C3131"
"17"	"SF14"	"D1,D2,D5,D6"	"DO-41_BD2.4-L4.7-P8.70-D0.9-RD"	"4"	"SF14"	"GW"	"LCSC"	"C331690"
"18"	"470"	"R12,R34,R7,R8,R11"	"AXIAL-0.3"	"5"	""	""	"LCSC"	"C58592"
"19"	"20K"	"R1"	"AXIAL-0.3"	"1"	""	""	"LCSC"	"C58592"
"20"	"1k"	"R2,R4"	"AXIAL-0.3"	"2"	""	""	"LCSC"	"C58592"
"21"	"10K"	"R3,R5,R6,R10,R15"	"AXIAL-0.3"	"5"	""	""	"LCSC"	"C57436"
"22"	"CON_TERMINAL_BLOCK_03-5MM"	"J2,J3,J4,J1"	"TERMINAL_BLOCK_3P_5"	"4"	"?"	""	"LCSC"	"C182803"
"23"	"RED 3mm"	"LED2,LED5,LED1"	"LED-TH_BD3.0-P2.54-FD"	"3"	"204-10SURD/S530-A3-L"	"EVERLIGHT"	"LCSC"	"C99771"
"24"	"JST-ZH-4-PIN_HEADER"	"U3,U15"	"JST-ZH-4 1.5MM"	"2"	""	""	"LCSC"	"C163034"
"25"	"DBT50G-9.5-4P"	"U13"	"CONN-TH_4PIN-V-PITCH9.50-L_DBT50G-9.5-4P"	"1"	"DBT50G-9.5-4P"	"DIBO"	"LCSC"	"C395960"
"26"	"47"	"R13,R14"	"RES-TH_BD4.5-L11.0-P15.00-D0.8"	"2"	"RN 2WS 47R F T/B A1"	"TyoHM"	"LCSC"	"C433590"
"27"	"MOC3021"	"U5,U1"	"DIP-6_L8.5-W6.4-P2.54-LS7.6-BL"	"2"	"MOC3021"	"Lite-On"	"LCSC"	"C123202"
"28"	"PZEM-004T"	"U18"	"PZEM-004T"	"1"	"New SchematicLib"	""	""	""
"29"	"Pot 10k"	"VR1"	"SINGLEPOT"	"1"	""	""	""	""
"30"	"ESP32S - Wemos ESP32S"	"U4"	"ESP32-TEST"	"1"	"ESP32S"	""	""	""
"31"	"100n"	"C2,C7"	"WIMA 5MM 3.5X7.2"	"2"	""	""	"LCSC"	"C94717"
"32"	"1n"	"C3,C4"	"WIMA 5MM 3.5X7.2"	"2"	""	""	"LCSC"	"C192448"
"33"	"1K"	"R9,R33"	"RES-TH_BD3.3-L9.0-P13.00-D0.6"	"2"	""	""	"LCSC"	"C385291"
"34"	"120K"	"R20,R21"	"RES-TH_BD3.3-L9.0-P13.00-D0.6"	"2"	""	""	"LCSC"	"C433673"
